linha,hora,n,total,prop
101 - Beira Rio,4,15,6592,0.0022754854368932037
101 - Beira Rio,5,204,6592,0.030946601941747573
101 - Beira Rio,6,683,6592,0.10361043689320389
101 - Beira Rio,7,671,6592,0.10179004854368932
101 - Beira Rio,8,321,6592,0.04869538834951456
101 - Beira Rio,9,326,6592,0.04945388349514563
101 - Beira Rio,10,370,6592,0.05612864077669903
101 - Beira Rio,11,361,6592,0.05476334951456311
101 - Beira Rio,12,404,6592,0.06128640776699029
101 - Beira Rio,13,354,6592,0.05370145631067961
101 - Beira Rio,14,312,6592,0.04733009708737864
101 - Beira Rio,15,277,6592,0.04202063106796117
101 - Beira Rio,16,403,6592,0.06113470873786408
101 - Beira Rio,17,635,6592,0.09632888349514564
101 - Beira Rio,18,538,6592,0.08161407766990292
101 - Beira Rio,19,268,6592,0.040655339805825245
101 - Beira Rio,20,159,6592,0.02412014563106796
101 - Beira Rio,21,222,6592,0.033677184466019416
101 - Beira Rio,22,64,6592,0.009708737864077669
101 - Beira Rio,23,5,6592,7.58495145631068e-4
102 - Vila Sto. Antonio/Ns,5,82,3047,0.026911716442402363
102 - Vila Sto. Antonio/Ns,6,284,3047,0.09320643255661307
102 - Vila Sto. Antonio/Ns,7,261,3047,0.08565802428618313
102 - Vila Sto. Antonio/Ns,8,189,3047,0.06202822448309813
102 - Vila Sto. Antonio/Ns,9,198,3047,0.06498194945848375
102 - Vila Sto. Antonio/Ns,10,200,3047,0.06563833278634723
102 - Vila Sto. Antonio/Ns,11,196,3047,0.06432556613062028
102 - Vila Sto. Antonio/Ns,12,190,3047,0.062356416147029865
102 - Vila Sto. Antonio/Ns,13,185,3047,0.060715457827371186
102 - Vila Sto. Antonio/Ns,14,173,3047,0.05677715786019035
102 - Vila Sto. Antonio/Ns,15,184,3047,0.06038726616343945
102 - Vila Sto. Antonio/Ns,16,200,3047,0.06563833278634723
102 - Vila Sto. Antonio/Ns,17,201,3047,0.06596652445027897
102 - Vila Sto. Antonio/Ns,18,185,3047,0.060715457827371186
102 - Vila Sto. Antonio/Ns,19,93,3047,0.03052182474565146
102 - Vila Sto. Antonio/Ns,20,80,3047,0.02625533311453889
102 - Vila Sto. Antonio/Ns,21,112,3047,0.03675746636035445
102 - Vila Sto. Antonio/Ns,22,29,3047,0.009517558254020347
102 - Vila Sto. Antonio/Ns,23,5,3047,0.0016409583196586807
106 - FLORESTA/CENTRO,5,39,1379,0.028281363306744016
106 - FLORESTA/CENTRO,6,117,1379,0.08484408992023205
106 - FLORESTA/CENTRO,7,144,1379,0.10442349528643945
106 - FLORESTA/CENTRO,8,91,1379,0.06598984771573604
106 - FLORESTA/CENTRO,9,74,1379,0.05366207396664249
106 - FLORESTA/CENTRO,10,93,1379,0.0674401740391588
106 - FLORESTA/CENTRO,11,82,1379,0.05946337926033358
106 - FLORESTA/CENTRO,12,97,1379,0.07034082668600435
106 - FLORESTA/CENTRO,13,62,1379,0.044960116026105876
106 - FLORESTA/CENTRO,14,71,1379,0.05148658448150834
106 - FLORESTA/CENTRO,15,66,1379,0.047860768672951415
106 - FLORESTA/CENTRO,16,104,1379,0.07541696881798404
106 - FLORESTA/CENTRO,17,138,1379,0.10007251631617115
106 - FLORESTA/CENTRO,18,79,1379,0.05728788977519942
106 - FLORESTA/CENTRO,19,55,1379,0.03988397389412618
106 - FLORESTA/CENTRO,20,23,1379,0.016678752719361856
106 - FLORESTA/CENTRO,21,28,1379,0.02030456852791878
106 - FLORESTA/CENTRO,22,9,1379,0.006526468455402465
106 - FLORESTA/CENTRO,23,7,1379,0.005076142131979695
108 - SANTA MARIA/BAIRRO E,5,41,3594,0.011407902058987202
108 - SANTA MARIA/BAIRRO E,6,276,3594,0.07679465776293823
108 - SANTA MARIA/BAIRRO E,7,374,3594,0.10406232609905398
108 - SANTA MARIA/BAIRRO E,8,213,3594,0.05926544240400668
108 - SANTA MARIA/BAIRRO E,9,195,3594,0.05425709515859766
108 - SANTA MARIA/BAIRRO E,10,196,3594,0.054535336672231496
108 - SANTA MARIA/BAIRRO E,11,196,3594,0.054535336672231496
108 - SANTA MARIA/BAIRRO E,12,237,3594,0.0659432387312187
108 - SANTA MARIA/BAIRRO E,13,272,3594,0.07568169170840289
108 - SANTA MARIA/BAIRRO E,14,182,3594,0.05063995548135782
108 - SANTA MARIA/BAIRRO E,15,191,3594,0.053144129104062326
108 - SANTA MARIA/BAIRRO E,16,243,3594,0.0676126878130217
108 - SANTA MARIA/BAIRRO E,17,268,3594,0.07456872565386756
