linha,tipo_cartao,n
101 - Beira Rio,Estudante,1426
101 - Beira Rio,Gratuidade,839
101 - Beira Rio,Inteira,1069
101 - Beira Rio,Vale Transporte,3258
102 - Vila Sto. Antonio/Ns,Estudante,642
102 - Vila Sto. Antonio/Ns,Gratuidade,591
102 - Vila Sto. Antonio/Ns,Inteira,409
102 - Vila Sto. Antonio/Ns,Vale Transporte,1405
106 - FLORESTA/CENTRO,Estudante,255
106 - FLORESTA/CENTRO,Gratuidade,186
106 - FLORESTA/CENTRO,Inteira,327
106 - FLORESTA/CENTRO,Vale Transporte,611
108 - SANTA MARIA/BAIRRO E,Estudante,771
108 - SANTA MARIA/BAIRRO E,Gratuidade,499
108 - SANTA MARIA/BAIRRO E,Inteira,834
108 - SANTA MARIA/BAIRRO E,Vale Transporte,1490
10 - TERMINAL SIQUEIRA,Estudante,710
10 - TERMINAL SIQUEIRA,Gratuidade,303
10 - TERMINAL SIQUEIRA,Inteira,760
10 - TERMINAL SIQUEIRA,Vale Transporte,3383
110 - Vila do Mar/Centro,Estudante,460
110 - Vila do Mar/Centro,Gratuidade,301
110 - Vila do Mar/Centro,Inteira,488
110 - Vila do Mar/Centro,Vale Transporte,926
111 - Jardim Iracema,Estudante,786
111 - Jardim Iracema,Gratuidade,593
111 - Jardim Iracema,Inteira,1352
111 - Jardim Iracema,Vale Transporte,1969
112 - Alvaro Weyne/Centro,Estudante,589
112 - Alvaro Weyne/Centro,Gratuidade,468
112 - Alvaro Weyne/Centro,Inteira,732
112 - Alvaro Weyne/Centro,Vale Transporte,1219
114 - Cj Nova Assuncao/Fra,Estudante,1068
114 - Cj Nova Assuncao/Fra,Gratuidade,594
114 - Cj Nova Assuncao/Fra,Inteira,1550
114 - Cj Nova Assuncao/Fra,Vale Transporte,2358
115 - Jardim Guanabara/Fra,Estudante,862
115 - Jardim Guanabara/Fra,Gratuidade,489
115 - Jardim Guanabara/Fra,Inteira,1253
115 - Jardim Guanabara/Fra,Vale Transporte,1836
11 - Circular 1,Estudante,1620
11 - Circular 1,Gratuidade,365
11 - Circular 1,Inteira,1261
11 - Circular 1,Vale Transporte,2741
120 - VILA DO MAR / ANTONI,Estudante,348
120 - VILA DO MAR / ANTONI,Gratuidade,127
120 - VILA DO MAR / ANTONI,Inteira,630
120 - VILA DO MAR / ANTONI,Vale Transporte,1119
122 - Antonio Bezerra/Alva,Estudante,605
122 - Antonio Bezerra/Alva,Gratuidade,223
122 - Antonio Bezerra/Alva,Inteira,866
122 - Antonio Bezerra/Alva,Vale Transporte,1310
12 - Circular 2,Estudante,1704
12 - Circular 2,Gratuidade,426
12 - Circular 2,Inteira,1248
12 - Circular 2,Vale Transporte,2826
132 - VILA SANTO ANTONIO/R,Estudante,129
132 - VILA SANTO ANTONIO/R,Gratuidade,10
132 - VILA SANTO ANTONIO/R,Inteira,67
132 - VILA SANTO ANTONIO/R,Vale Transporte,261
13 - Aguanambi 1,Estudante,211
13 - Aguanambi 1,Gratuidade,99
13 - Aguanambi 1,Inteira,310
13 - Aguanambi 1,Vale Transporte,485
14 - Aguanambi 2,Estudante,309
14 - Aguanambi 2,Gratuidade,167
14 - Aguanambi 2,Inteira,483
14 - Aguanambi 2,Vale Transporte,754
15 - Cj Ceara/Antonio Bez,Estudante,1001
15 - Cj Ceara/Antonio Bez,Gratuidade,409
15 - Cj Ceara/Antonio Bez,Inteira,1501
15 - Cj Ceara/Antonio Bez,Vale Transporte,2070
16 - CUCA BARRA/PAPICU,Estudante,280
16 - CUCA BARRA/PAPICU,Gratuidade,51
16 - CUCA BARRA/PAPICU,Inteira,440
16 - CUCA BARRA/PAPICU,Vale Transporte,859
17 - Intershoppings,Inteira,682
17 - Intershoppings,Vale Transporte,489
19 - MESSEJANA/PAPICU/MAN,Estudante,913
19 - MESSEJANA/PAPICU/MAN,Gratuidade,124
19 - MESSEJANA/PAPICU/MAN,Inteira,871
19 - MESSEJANA/PAPICU/MAN,Vale Transporte,1536
1 - TERM.ANT.BEZERRA,Estudante,1486
1 - TERM.ANT.BEZERRA,Gratuidade,357
1 - TERM.ANT.BEZERRA,Inteira,4403
1 - TERM.ANT.BEZERRA,Vale Transporte,3605
200 - ANTONIO BEZERRA/CENT,Estudante,1411
200 - ANTONIO BEZERRA/CENT,Gratuidade,87
200 - ANTONIO BEZERRA/CENT,Inteira,1355
200 - ANTONIO BEZERRA/CENT,Vale Transporte,2093
205 - Dom Lustosa,Estudante,263
205 - Dom Lustosa,Gratuidade,112
205 - Dom Lustosa,Inteira,364
205 - Dom Lustosa,Vale Transporte,554
206 - PADRE ANDRADE/ANTO,Estudante,251
206 - PADRE ANDRADE/ANTO,Gratuidade,123
206 - PADRE ANDRADE/ANTO,Inteira,235
206 - PADRE ANDRADE/ANTO,Vale Transporte,466
210 - Quintino Cunha/Anton,Estudante,879
210 - Quintino Cunha/Anton,Gratuidade,230
210 - Quintino Cunha/Anton,Inteira,1134
210 - Quintino Cunha/Anton,Vale Transporte,1684
211 - Olavo Oliveira/Vila,Estudante,859
211 - Olavo Oliveira/Vila,Gratuidade,375
211 - Olavo Oliveira/Vila,Inteira,1178
211 - Olavo Oliveira/Vila,Vale Transporte,1780
212 - Jd.Guanabara/N. A. 1,Estudante,686
212 - Jd.Guanabara/N. A. 1,Gratuidade,299
212 - Jd.Guanabara/N. A. 1,Inteira,885
212 - Jd.Guanabara/N. A. 1,Vale Transporte,1404
213 - Jd.Guanabara/N. A. 2,Estudante,1006
213 - Jd.Guanabara/N. A. 2,Gratuidade,264
213 - Jd.Guanabara/N. A. 2,Inteira,983
213 - Jd.Guanabara/N. A. 2,Vale Transporte,1666
214 - Estacao/Pio Saraiva,Estudante,520
214 - Estacao/Pio Saraiva,Gratuidade,200
214 - Estacao/Pio Saraiva,Inteira,580
214 - Estacao/Pio Saraiva,Vale Transporte,1511
215 - Autran Nunes,Estudante,282
215 - Autran Nunes,Gratuidade,54
215 - Autran Nunes,Inteira,389
215 - Autran Nunes,Vale Transporte,649
216 - Antonio Bezerra,Estudante,420
216 - Antonio Bezerra,Gratuidade,44
216 - Antonio Bezerra,Inteira,335
216 - Antonio Bezerra,Vale Transporte,601
217 - Estacao/Pio Saraiva,Estudante,168
217 - Estacao/Pio Saraiva,Gratuidade,44
217 - Estacao/Pio Saraiva,Inteira,213
217 - Estacao/Pio Saraiva,Vale Transporte,239
21 - Luc. Cavalca./Papicu,Estudante,811
21 - Luc. Cavalca./Papicu,Gratuidade,162
21 - Luc. Cavalca./Papicu,Inteira,620
21 - Luc. Cavalca./Papicu,Vale Transporte,1257
220 - Av. Sargento Hermini,Estudante,1134
220 - Av. Sargento Hermini,Gratuidade,459
220 - Av. Sargento Hermini,Inteira,1689
220 - Av. Sargento Hermini,Vale Transporte,2362
221 - VILA VELHA/RIOMAR KE,Estudante,89
221 - VILA VELHA/RIOMAR KE,Gratuidade,34
221 - VILA VELHA/RIOMAR KE,Inteira,81
221 - VILA VELHA/RIOMAR KE,Vale Transporte,183
222 - ANTONIO BEZERRA/PAPI,Estudante,2725
222 - ANTONIO BEZERRA/PAPI,Gratuidade,160
222 - ANTONIO BEZERRA/PAPI,Inteira,2288
222 - ANTONIO BEZERRA/PAPI,Vale Transporte,4219
225 - Joao Arruda,Estudante,404
225 - Joao Arruda,Gratuidade,117
225 - Joao Arruda,Inteira,475
225 - Joao Arruda,Vale Transporte,718
226 - EXP/A.BEZ/MES,Estudante,522
226 - EXP/A.BEZ/MES,Gratuidade,29
226 - EXP/A.BEZ/MES,Inteira,621
226 - EXP/A.BEZ/MES,Vale Transporte,1344
22 - Jd. Oliveiras/Centro,Estudante,381
22 - Jd. Oliveiras/Centro,Gratuidade,168
22 - Jd. Oliveiras/Centro,Inteira,424
22 - Jd. Oliveiras/Centro,Vale Transporte,838
23 - Corujao/Edson Queiro,Estudante,1
23 - Corujao/Edson Queiro,Inteira,2
23 - Corujao/Edson Queiro,Vale Transporte,5
243 - Parque Univ./Ant. Be,Estudante,305
243 - Parque Univ./Ant. Be,Gratuidade,49
243 - Parque Univ./Ant. Be,Inteira,400
243 - Parque Univ./Ant. Be,Vale Transporte,619
244 - ANTONIO BEZERRA/PARA,Estudante,782
244 - ANTONIO BEZERRA/PARA,Gratuidade,155
244 - ANTONIO BEZERRA/PARA,Inteira,698
244 - ANTONIO BEZERRA/PARA,Vale Transporte,1028
